# created: Thu Jun  6 01:42:51 AM UTC 2024
# script: pkg_manifests_save_all_details
NAME                                               NAMESPACE                                   CATALOG_SOURCE        SOURCE_NAMESPACE        DEFAULT_CHANNEL             CHANNELS                                                                                                                                                                                                                                                                                              NS_OWN   NS_SINGLE   NS_MULTI   NS_ALL   DISPLAY_NAME
sigstore-helm-operator                             <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     sigstore
silicom-sts-operator                               <none>                                      certified-operators   openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          true     true        false      true     Silicom STS Operator
silicom-sts-operator                               <none>                                      community-operators   openshift-marketplace   alpha                       alpha,beta                                                                                                                                                                                                                                                                                            true     true        false      true     Silicom STS Operator
skupper-operator                                   <none>                                      redhat-operators      openshift-marketplace   stable                      alpha,stable,stable-1,stable-1.5                                                                                                                                                                                                                                                                      true     false       false      true     Red Hat Service Interconnect
skupper-operator                                   <none>                                      community-operators   openshift-marketplace   stable                      alpha,stable,stable-1,stable-1.6,stable-1.7                                                                                                                                                                                                                                                           true     false       false      true     Skupper
smart-gateway-operator                             <none>                                      redhat-operators      openshift-marketplace   stable-1.5                  stable-1.5                                                                                                                                                                                                                                                                                            true     true        false      false    Smart Gateway Operator
smilecdr-operator                                  <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    true        false      false    Smilecdr Operator
sn-operator                                        <none>                                      certified-operators   openshift-marketplace   alpha                       alpha,beta,stable                                                                                                                                                                                                                                                                                     false    false       false      true     StreamNative Operator
sn-operator                                        <none>                                      community-operators   openshift-marketplace   alpha                       alpha,beta,stable                                                                                                                                                                                                                                                                                     false    false       false      true     StreamNative Operator
snapscheduler                                      <none>                                      community-operators   openshift-marketplace   stable                      candidate,stable                                                                                                                                                                                                                                                                                      false    false       false      true     SnapScheduler
snyk-operator                                      <none>                                      community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      true     Snyk Operator
sonar-operator                                     <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      false    EDP Sonar Operator
sonataflow-operator                                <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     SonataFlow Operator
sosivio                                            <none>                                      community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     Sosivio | Predictive Troubleshooting for Kubernetes
sosreport-operator                                 <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     sosreport-operator
spark-helm-operator                                spark-operator                              community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Spark Helm Operator
special-resource-operator                          <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     Special Resource Operator
splunk-operator                                    <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        true       true     Splunk Operator
sriov-fec                                          <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      true     SRIOV-FEC Operator for Intel vRAN Boost Accelerators
sriov-network-operator                             openshift-sriov-network-operator            redhat-operators      openshift-marketplace   stable                      4.13,stable                                                                                                                                                                                                                                                                                           true     true        false      false    SR-IOV Network Operator
stackable-airflow-operator                         stackable-operators                         certified-operators   openshift-marketplace   24.4                        24.4,stable                                                                                                                                                                                                                                                                                           true     true        true       true     Stackable Operator for Apache Airflow
stackable-commons-operator                         stackable-operators                         certified-operators   openshift-marketplace   24.4                        24.4,stable                                                                                                                                                                                                                                                                                           true     true        true       true     Stackable Commons Operator
stackable-druid-operator                           stackable-operators                         certified-operators   openshift-marketplace   24.4                        24.4,stable                                                                                                                                                                                                                                                                                           true     true        true       true     Stackable Operator for Apache Druid
stackable-hbase-operator                           stackable-operators                         certified-operators   openshift-marketplace   24.4                        24.4,stable                                                                                                                                                                                                                                                                                           true     true        true       true     Stackable Operator for Apache Hbase
stackable-hdfs-operator                            stackable-operators                         certified-operators   openshift-marketplace   24.4                        24.4,stable                                                                                                                                                                                                                                                                                           true     true        true       true     Stackable Operator for Apache HDFS
stackable-hive-operator                            stackable-operators                         certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        true       true     Stackable Operator for Apache Hive
stackable-kafka-operator                           stackable-operators                         certified-operators   openshift-marketplace   24.4                        24.4,stable                                                                                                                                                                                                                                                                                           true     true        true       true     Stackable Operator for Apache Kafka
stackable-listener-operator                        stackable-operators                         certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        true       true     Stackable Listener Operator
stackable-nifi-operator                            stackable-operators                         certified-operators   openshift-marketplace   24.4                        24.4,stable                                                                                                                                                                                                                                                                                           true     true        true       true     Stackable Operator for Apache Nifi
stackable-opa-operator                             stackable-operators                         certified-operators   openshift-marketplace   24.4                        24.4,stable                                                                                                                                                                                                                                                                                           true     true        true       true     Stackable Operator for the Open Policy Agent
stackable-secret-operator                          stackable-operators                         certified-operators   openshift-marketplace   24.4                        24.4,stable                                                                                                                                                                                                                                                                                           true     true        true       true     Stackable Secret Operator
stackable-spark-operator                           stackable-operators                         certified-operators   openshift-marketplace   24.4                        24.4,stable                                                                                                                                                                                                                                                                                           true     true        true       true     Stackable Operator for Apache Spark
stackable-superset-operator                        stackable-operators                         certified-operators   openshift-marketplace   24.4                        24.4,stable                                                                                                                                                                                                                                                                                           true     true        true       true     Stackable Operator for Apache Superset
stackable-trino-operator                           stackable-operators                         certified-operators   openshift-marketplace   24.4                        24.4,stable                                                                                                                                                                                                                                                                                           true     true        true       true     Stackable Operator for Trino
stackable-zookeeper-operator                       stackable-operators                         certified-operators   openshift-marketplace   24.4                        24.4,stable                                                                                                                                                                                                                                                                                           true     true        true       true     Stackable Operator for Apache Zookeeper
stackgres                                          <none>                                      redhat-marketplace    openshift-marketplace   stable                      candidate,fast,stable                                                                                                                                                                                                                                                                                 false    false       false      true     StackGres
stackgres-certified                                <none>                                      certified-operators   openshift-marketplace   stable                      candidate,fast,stable                                                                                                                                                                                                                                                                                 false    false       false      true     StackGres
starburst-enterprise-helm-operator-paygo-rhmp      <none>                                      redhat-marketplace    openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     false       false      true     Starburst Enterprise Pay as you go Helm Operator
starburst-enterprise-helm-operator-rhmp            <none>                                      redhat-marketplace    openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     false       false      true     Starburst Enterprise Helm Operator
stolostron                                         stolostron                                  community-operators   openshift-marketplace   community-0.3               community-0.2,community-0.3                                                                                                                                                                                                                                                                           true     false       false      false    Stolostron
stolostron-engine                                  stolostron-engine                           community-operators   openshift-marketplace   community-0.3               community-0.2,community-0.3                                                                                                                                                                                                                                                                           true     false       false      false    Stolostron Engine
strimzi-kafka-operator                             <none>                                      community-operators   openshift-marketplace   stable                      stable,strimzi-0.23.x,strimzi-0.24.x,strimzi-0.25.x,strimzi-0.26.x,strimzi-0.27.x,strimzi-0.28.x,strimzi-0.29.x,strimzi-0.30.x,strimzi-0.31.x,strimzi-0.32.x,strimzi-0.33.x,strimzi-0.34.x,strimzi-0.35.x,strimzi-0.36.x,strimzi-0.37.x,strimzi-0.38.x,strimzi-0.39.x,strimzi-0.40.x,strimzi-0.41.x   true     true        true       true     Strimzi
submariner                                         submariner-operator                         redhat-operators      openshift-marketplace   stable-0.17                 stable-0.15,stable-0.16,stable-0.17                                                                                                                                                                                                                                                                   true     false       false      false    Submariner
syndesis                                           <none>                                      community-operators   openshift-marketplace   latest                      1.12.x,1.13.x,candidate,latest,stable                                                                                                                                                                                                                                                                 true     true        false      false    Syndesis Operator
t8c                                                <none>                                      community-operators   openshift-marketplace   stable                      stable,v42.10.0,v42.12.0,v42.13.0,v42.14.0,v42.15.0,v42.16.0,v42.17.0,v42.18.0,v42.19.0,v42.20.0,v42.21.0,v42.22.0,v42.6.0,v42.7.0,v42.8.0,v42.9.0                                                                                                                                                    true     true        false      false    Turbonomic Platform Operator
t8c-certified                                      <none>                                      certified-operators   openshift-marketplace   stable                      beta,stable                                                                                                                                                                                                                                                                                           true     true        false      false    Turbonomic Platform Operator
t8c-certified-rhmp                                 <none>                                      redhat-marketplace    openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    Turbonomic Platform Operator
t8c-tsc-client-certified                           <none>                                      certified-operators   openshift-marketplace   stable                      candidate,stable                                                                                                                                                                                                                                                                                      true     false       false      false    Turbonomic Secure Connect Client
tagger                                             <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Tagger
tang-operator                                      <none>                                      redhat-operators      openshift-marketplace   alpha                       alpha,stable                                                                                                                                                                                                                                                                                          false    false       false      true     NBDE Tang Server
tawon-operator                                     <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     Tawon
tempo-operator                                     tempo-operator-system                       community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Community Tempo Operator
tempo-product                                      openshift-tempo-operator                    redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     Tempo Operator
tenant-operator                                    multi-tenant-operator                       certified-operators   openshift-marketplace   release-0.12                0.10.5,0.10.6,0.10.7,0.10.8,0.10.9,release-0.11,release-0.12,stable                                                                                                                                                                                                                                   false    false       false      true     Multi Tenant Operator
test-obi-new-cnf-option                            <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     false       false      true     test-obi-new-cnf-option
tf-controller                                      flux-system                                 community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        true       true     Weave GitOps Terraform Controller
tidb-operator                                      <none>                                      community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        true       true     TiDB Operator
tigera-operator                                    <none>                                      certified-operators   openshift-marketplace   release-v1.32               release-v1.20,release-v1.23,release-v1.25,release-v1.28,release-v1.29,release-v1.30,release-v1.32                                                                                                                                                                                                     true     true        false      true     Tigera Operator
timemachine-operator                               <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      false    Time Machine Operator
timemachine-operator-rhmp                          <none>                                      redhat-marketplace    openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      false    Time Machine Operator
topology-aware-lifecycle-manager                   <none>                                      redhat-operators      openshift-marketplace   stable                      4.14,stable                                                                                                                                                                                                                                                                                           false    false       false      true     Topology Aware Lifecycle Manager
trident-operator                                   <none>                                      community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                <none>   <none>      <none>     true     Astra Trident
ucs-ci-solutions-operator                          <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     UCS-CI-Solutions-Operator
uma-admin-operator                                 <none>                                      certified-operators   openshift-marketplace   stable                      2024.2,2024.3,2024.4,2024.5,stable                                                                                                                                                                                                                                                                    true     true        true       false    DX APM Universal Monitoring Agent Admin For Multi-tenancy
uma-operator                                       <none>                                      certified-operators   openshift-marketplace   stable                      2024.2,2024.3,2024.4,2024.5,beta,stable                                                                                                                                                                                                                                                               true     true        true       false    DX APM Universal Monitoring Agent
uma-team-operator                                  <none>                                      certified-operators   openshift-marketplace   stable                      2024.2,2024.3,2024.4,2024.5,stable                                                                                                                                                                                                                                                                    true     true        true       true     DX APM Universal Monitoring Agent Team For Multi-tenancy
universal-crossplane                               upbound-system                              community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     Upbound Universal Crossplane (UXP)
varnish-operator                                   <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      false    Varnish Operator
vault-config-operator                              vault-config-operator                       community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Vault Config Operator
vault-secrets-operator                             <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     Vault Secrets Operator
vcp-operator                                       <none>                                      certified-operators   openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          false    false       false      true     Venafi Control Plane Operator
verticadb-operator                                 <none>                                      community-operators   openshift-marketplace   v2-stable                   stable,v2-stable                                                                                                                                                                                                                                                                                      true     true        false      false    VerticaDB Operator
vertical-pod-autoscaler                            openshift-vertical-pod-autoscaler           redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     false       false      false    VerticalPodAutoscaler
vfunction-server-operator                          <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    vFunction Operator
vfunction-server-operator-rhmp                     <none>                                      redhat-marketplace    openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    vFunction Operator
victoriametrics-operator                           <none>                                      community-operators   openshift-marketplace   beta                        beta                                                                                                                                                                                                                                                                                                  true     true        false      true     VictoriaMetrics Operator
volsync-product                                    <none>                                      redhat-operators      openshift-marketplace   stable                      acm-2.6,stable,stable-0.7,stable-0.8,stable-0.9                                                                                                                                                                                                                                                       false    false       false      true     VolSync
volume-expander-operator                           volume-expander-operator                    community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Volume Expander Operator
web-terminal                                       openshift-operators                         redhat-operators      openshift-marketplace   fast                        fast                                                                                                                                                                                                                                                                                                  false    false       false      true     Web Terminal
webotx-operator                                    <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    WebOTX Operator for Kubernetes
windows-machine-config-operator                    openshift-windows-machine-config-operator   redhat-operators      openshift-marketplace   stable                      preview,stable                                                                                                                                                                                                                                                                                        true     false       false      false    Windows Machine Config Operator
windup-operator                                    windup                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      false    Windup Operator
xcrypt-operator                                    <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     Zettaset XCrypt Operator
xcrypt-operator-rhmp                               <none>                                      redhat-marketplace    openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     Zettaset XCrypt Operator
xspc-operator                                      <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    HPE XP Storage Plug-in for Containers
yaks                                               <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     YAKS Operator
